month year,Pcs / Pk,Quantity,UnitPrice,OTIF,Embelishment Cost,TotalQuantity,TotalSales
7/1/2021,5,13400,5.18,0.22,0.185,67000,347060
7/1/2021,7,2400,6.4,0.86,0.371,16800,107520
7/1/2021,7,7025,6.38,0.83,0.185,49175,313736.5
7/1/2021,7,20700,6.4,0.80,0.185,144900,927360
6/1/2021,3,25600,6.28,0.00,0.354,76800,482304
6/1/2021,3,13500,5.9,0.00,0.1,40500,238950
6/1/2021,3,25500,6.16,0.00,0.241,76500,471240
6/1/2021,5,40600,5.18,0.57,0.185,203000,1051540
6/1/2021,7,8500,6.4,0.86,0.371,59500,380800
6/1/2021,7,24100,6.38,0.79,0.185,168700,1076306
6/1/2021,7,13400,6.4,0.13,0.185,93800,600320
6/1/2021,3,14250,4.98,0.00,0.227,42750,212895
5/1/2021,3,3200,6.28,0.29,0.354,9600,60288
5/1/2021,3,12000,5.9,0.83,0.175,36000,212400
5/1/2021,3,6025,2.24,0.50,,18075,40488
5/1/2021,3,5400,6.16,0.00,0.241,16200,99792
5/1/2021,5,11900,5.18,0.43,0.185,59500,308210
5/1/2021,7,5100,6.4,0.71,0.371,35700,228480
5/1/2021,7,55575,6.08,0.71,0.093,389025,2365272
5/1/2021,7,35750,6.08,0.71,0.154,250250,1521520
11/1/2021,3,4000,3,,,12000,36000
11/1/2021,3,5475,3.05,,,16425,50096.25
11/1/2021,7,22850,6.77,,0.154,159950,1082861.5
11/1/2021,7,6800,6.99,,0.15,47600,332724
11/1/2021,7,36050,6.88,,0.154,252350,1736168
11/1/2021,7,16025,6.3,,0.108,112175,706702.5
11/1/2021,3,2147,4.98,,0.227,6441,32076.18
11/1/2021,3,2920,5.28,,0.196,8760,46252.8
10/1/2021,5,20600,5.08,1.00,0.041,103000,523240
10/1/2021,7,2000,6.4,,0.371,14000,89600
10/1/2021,7,3600,6.4,,0.108,25200,161280
10/1/2021,7,7500,6.38,,0.179,52500,334950
10/1/2021,7,2250,6.4,,0.185,15750,100800
10/1/2021,7,17125,6.3,1.00,0.108,119875,755212.5
10/1/2021,3,23200,5.28,0.00,0.196,69600,367488
9/1/2021,5,41400,5.08,,0.041,207000,1051560
9/1/2021,7,12400,6.4,0.86,0.108,86800,555520
9/1/2021,7,8800,6.38,0.86,0.201,61600,393008
9/1/2021,7,22500,6.38,0.00,0.179,157500,1004850
9/1/2021,7,20400,6.3,0.86,0.108,142800,899640
1/1/2022,3,4000,3,0.20,,12000,36000
1/1/2022,3,1750,3.05,1.00,,5250,16012.5
1/1/2022,7,12500,6.77,0.60,0.154,87500,592375
1/1/2022,7,62300,6.99,0.60,0.15,436100,3048339
1/1/2022,7,11000,6.88,0.50,0.154,77000,529760
